590, Nitai Gal, 0, Well Done
591, Nitai Gal, 1, Improvement required
592, Nitai Gal, 0, Medium operation
593, Nitai Gal, 1, Well Done
594, Nitai Gal, 1, Well Done
595, Nitai Gal, 1, Failure
596, Nitai Gal, 0, Failure
597, Nitai Gal, 0, Medium operation
598, Nitai Gal, 0, Medium operation
599, Nitai Gal, 1, Medium operation
600, Nitai Gal, 0, Medium operation
601, Nitai Gal, 1, Medium operation
602, Nitai Gal, 0, Medium operation
603, Nitai Gal, 0, Medium operation
604, Nitai Gal, 0, Failure
605, Nitai Gal, 0, Failure
606, Nitai Gal, 1, Well Done
607, Nitai Gal, 1, Well Done
608, Nitai Gal, 1, Well Done
609, Nitai Gal, 1, Improvement required
610, Nitai Gal, 1, Medium operation
611, Nitai Gal, 1, Improvement required
612, Nitai Gal, 0, Improvement required
613, Nitai Gal, 0, Improvement required
614, Nitai Gal, 0, Well Done
615, Nitai Gal, 0, Failure
616, Nitai Gal, 0, Improvement required
617, Nitai Gal, 1, Well Done
618, Nitai Gal, 0, Improvement required
619, Nitai Gal, 1, Improvement required
620, Nitai Gal, 0, Well Done
621, Nitai Gal, 1, Improvement required
622, Nitai Gal, 0, Well Done
623, Nitai Gal, 1, Well Done
624, Nitai Gal, 0, Well Done
625, Nitai Gal, 1, Well Done
626, Nitai Gal, 0, Improvement required
627, Nitai Gal, 0, Improvement required
628, Nitai Gal, 1, Improvement required
629, Nitai Gal, 1, Well Done
630, Nitai Gal, 1, Well Done
631, Nitai Gal, 1, Well Done
632, Nitai Gal, 1, Well Done
633, Nitai Gal, 1, Medium operation
634, Nitai Gal, 0, Medium operation
635, Nitai Gal, 0, Medium operation
636, Nitai Gal, 0, Well Done
637, Nitai Gal, 0, Medium operation
638, Nitai Gal, 0, Well Done
639, Nitai Gal, 0, Failure
640, Nitai Gal, 0, Failure
641, Nitai Gal, 0, Well Done
642, Nitai Gal, 0, Failure
643, Nitai Gal, 0, Failure
644, Nitai Gal, 0, Well Done
645, Nitai Gal, 0, Well Done
646, Nitai Gal, 0, Well Done
647, Nitai Gal, 1, Well Done
648, Nitai Gal, 1, Well Done
649, Nitai Gal, 1, Medium operation
650, Nitai Gal, 0, Medium operation
651, Nitai Gal, 0, Well Done
652, Nitai Gal, 0, Well Done
653, Nitai Gal, 0, Medium operation
654, Nitai Gal, 0, Improvement required
